team_id,team_name,name,games_played,position_rank,average_points,total_points,total_TD
30,Chiefs,Patrick Mahomes,15,2,24.96,374.4,40
7,Packers,Aaron Rodgers,15,3,23.82,357.3,47
12,Bucs,Tom Brady,15,9,20.51,307.66,39
17,Bills,Josh Allen,15,4,25.12,376.8,43
13,Cardinals,Kyler Murray,15,1,25,374.96,37
25,Texans,Deshaun Watson,15,5,22.9,343.52,33
32,Chargers,Justin Herbert,14,10,21.42,299.86,32
21,Ravens,Lamar Jackson,14,8,22.04,308.56,30
23,Browns,Baker Mayfield,15,18,15.49,232.38,26
24,Steelers,Ben Rothlisberger,15,12,17.81,267.16,33
27,Jaguars,Gardner Minshew,9,25,17.85,160.66,17
14,Rams,Matthew Stafford,15,16,15.86,237.94,23
19,Patriots,Cam Newton,14,20,15.89,222.5,17
31,Raiders,Derek Carr,15,14,16.75,251.18,28
1,Cowboys,Dak Prescott,5,30,27.13,135.64,13
5,Bears,Andy Dalton,8,31,12.43,124.34,14
6,Lions,Jared Goff,15,15,16,239.98,24
28,Broncos,Drew Lock,12,26,13.09,157.06,17
8,Vikings,Kirk Cousins,15,11,18.13,271.9,32
28,Broncos,Teddy Bridgewater,14,17,16.96,237.48,20
2,Giants,Daniel Jones,13,24,12.7,165.16,10
10,Panthers,Sam Darnold,11,32,11.19,123.08,10
5,Bears,Nick Foles,8,35,11.58,104.18,11
22,Bengals,Joe Burrow,10,23,17.37,173.72,16
18,Dolphins,Tua Tagovailoa,8,33,13.36,120.22,13
26,Colts,Carson Wentz,12,21,16.53,198.4,21
3,Eagles,Jalen Hurts,4,36,21.24,84.94,7
25,Texans,Tyrod Taylor,0,0,11,176.12,15
5,Bears,Justin Fields,0,0,15.8,253.87,22
27,Jaguars,Trevor Lawrence,0,0,16.8,268.69,25
11,Saints,Jameis Winston,0,0,11.4,182.64,18
20,Jets,Zach Wilson,0,0,15.1,241.8,22
4,WFT,Ryan Fitzpatrick,0,0,16.54,264.71,25
15,49ers,Trey Lance,0,0,14,225.09,22
11,Saints,Alvin Kamara,15,1,25.19,377.8,21
8,Vikings,Dalvin Cook,14,2,24.13,337.8,17
7,Packers,Aaron Jones,13,5,18.49,240.4,10
28,Titans,Derrick Henry,15,3,19.87,298.1,15
32,Chargers,Austin Ekeler,9,28,16.47,263.5,8
3,Eagles,Miles Sanders,12,22,14.2,170.4,6
5,Bears,David Montgomery,14,6,16.9,236.6,9
23,Browns,Nick Chubb,11,13,17.35,190.9,11
6,Lions,Dandre Swift,12,20,14.48,173.8,9
31,Raiders,Josh Jacobs,14,9,15.03,210.4,10
25,Texans,David Johnson,11,25,14.41,158.5,7
26,Colts,Jonathan Taylor,14,7,15.31,214.4,10
4,WFT,Antonio Gibson,13,12,14.85,193.1,11
27,Jaguars,James Robinson,14,4,17.89,250.4,10
16,Seahawks,Chris Carson,11,17,16.14,177.5,9
