coach_id,coach_name,team_id
1,Mike McCarthy,1
2,Joe Judge,2
3,Doug Peterson,3
4,Ron Rivera,4
5,Matt Nagy ,5
6,Matt Patricia,6
7,Matt LaFleur,7
8,Mike Zimmer,8
9,Arthur Smith,9
10,Matt Rhule,10
11,Sean Payton,11
12,Bruce Ariens,12
13,Kliff Kingsbury,13
14,Sean McVay,14
15,Kyle Shanahan,15
16,Pete Carroll,16
17,Sean McDermott,17
18,Brian Flores,18
19,Bill Belichick,19
20,Robert Saleh,20
21,John Harbaugh,21
22,Zac Taylor,22
23,Kevin Stefanski,23
24,Mike Tomlin,24
25,David Culley,25
26,Frank Reich,26
27,Doug Marone,27
28,Mike Vrabel,28
29,Vic Fangio,28
30,Andy Ried,30
31,Jon Gruden,31
32,Brandon Staley,32
