player_id,team_id,team_name,name,games_played,position_rank,average_points,total_points,rush_yards,rush_yds_per_game,rush_TD,ypc,avg_carries,total_carries,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,fumbles_lost,total_TD
1,11,Saints,Alvin Kamara,15,1,25.19,377.8,932,62.1,16,5,12.5,187,83,756,5,5.5,50.4,0,21
2,8,Vikings,Dalvin Cook,14,2,24.13,337.8,1557,111.2,16,5,22.3,312,44,361,1,3.1,25.8,3,17
3,7,Packers,Aaron Jones,13,5,18.49,240.4,1062,81.7,8,5.6,14.6,190,43,312,2,3.3,24,0,10
4,28,Titans,Derrick Henry,15,3,19.87,298.1,1777,118.5,15,5.2,22.9,344,19,114,0,1.3,7.6,1,15
5,32,Chargers,Austin Ekeler,9,28,16.47,263.5,858,53.6,5,4.6,11.8,188,74,602,3,4.6,37.6,0,8
6,3,Eagles,Miles Sanders,12,22,14.2,170.4,867,72.3,6,5.3,13.7,164,28,197,0,2.3,6.4,2,6
7,5,Bears,David Montgomery,14,6,16.9,236.6,1001,71.5,7,4.4,16.1,225,45,375,2,3.2,26.8,1,9
8,23,Browns,Nick Chubb,11,13,17.35,190.9,959,87.2,11,5.4,16,176,16,150,0,1.5,150,1,11
9,6,Lions,Dandre Swift,12,20,14.48,173.8,467,38.9,7,4.6,8.5,102,43,341,2,3.6,28.4,2,9
10,31,Raiders,Josh Jacobs,14,9,15.03,210.4,976,69.7,10,3.8,18.4,258,33,238,0,2.4,17,2,10
11,25,Texans,David Johnson,11,25,14.41,158.5,607,55.2,5,4.6,12.1,133,30,278,2,2.7,25.3,1,7
12,26,Colts,Jonathan Taylor,14,7,15.31,214.4,916,65.4,9,4.5,14.4,202,35,298,1,2.5,21.3,1,10
13,4,WFT,Antonio Gibson,13,12,14.85,193.1,720,55.4,11,4.8,11.6,151,35,241,0,2.7,18.5,2,11
14,27,Jaguars,James Robinson,14,4,17.89,250.4,1070,76.4,7,4.5,17.1,240,49,344,3,3.5,24.6,1,10
15,16,Seahawks,Chris Carson,11,17,16.14,177.5,637,57.9,5,4.9,11.8,130,35,248,4,3.1,22.5,0,9
16,1,Cowboys,Ezekiel Elliot,14,10,14.9,208.6,937,66.9,5,4.1,16.4,230,49,319,2,3.5,22.8,5,7
17,9,Falcons,Mike Davis,15,11,13.77,206.5,642,42.8,6,3.9,11,165,59,373,2,3.9,24.9,1,8
18,12,Bucs,Leonard Fournette,12,35,10.61,127.3,354,29.5,6,3.8,7.6,92,34,219,0,2.8,18.3,0,6
19,10,Panthers,Christian Mccaffrey,3,51,20.86,333.7,1065,66.6,10,4.3,15.6,250,85,677,3,5.3,42.3,0,13
20,31,Raiders,Kenyan Drake,14,14,13.15,184.1,919,65.6,10,4,16.4,229,22,122,0,1.6,8.7,1,10
21,14,Rams,Cam Akers,12,50,7.6,91.2,591,49.3,2,4.8,10.3,124,7,71,1,0.6,5.9,0,3
22,14,Rams,Darrell Henderson,15,33,8.69,130.3,624,41.6,5,4.5,9.2,138,16,159,1,1.1,10.6,0,6
23,18,Dolphins,Myles Gaskin,9,29,16.28,146.5,564,62.7,2,4.2,15,135,37,331,2,4.1,36.8,2,4
24,21,Ravens,J.K. Dobbins,14,31,10.04,140.5,645,46.1,7,5.3,8.6,121,18,120,0,1.3,8.6,0,7
25,28,Broncos,Melvin Gordon,14,18,12.67,177.4,893,63.8,8,4.7,13.5,189,28,141,1,2,10.1,4,9
26,25,Texans,Phillip Lindsay,11,63,6,66,502,45.6,1,4.2,10.7,118,7,28,0,0.6,2.5,0,1
27,22,Bengals,Joe Mixon,6,47,16.6,99.6,428,71.3,3,3.6,19.8,119,21,138,1,3.5,23,1,4
28,12,Bucs,Giovani Bernard,15,26,10.49,157.4,409,27.3,3,3.4,8.1,121,47,355,3,3.1,23.7,1,6
29,15,49ers,Raheem Mostert,8,46,12.46,99.7,521,65.1,2,5,13,104,16,156,1,2,19.5,1,3
30,15,49ers,Jeff Wilson,11,39,10.77,118.5,524,47.6,6,4.9,9.6,106,10,121,2,0.9,11,2,8
31,13,Cardinals,Chase Edmonds,15,23,10.9,163.5,451,30.1,1,4.8,6.3,94,51,374,4,3.4,24.9,0,5
32,23,Browns,Kareem Hunt,15,8,14.23,213.4,804,53.6,6,4.3,12.5,188,37,300,5,2.5,20,0,11
33,26,Colts,Nyheim Hines,15,16,12.1,181.5,363,24.2,3,4.2,5.8,87,58,432,4,3.9,28.8,0,7
34,4,WFT,J.D. Mckissic,15,15,12.23,183.4,365,24.3,1,4.4,5.5,83,75,559,2,5,37.3,1,3
35,13,Cardinals,James Conner,12,27,12.78,153.3,638,56.9,6,4.3,13.3,160,30,190,0,2.5,15.8,0,6
36,18,Dolphins,Malcolm Brown,15,43,7.09,106.3,399,26.6,5,4.1,6.5,98,22,164,0,1.5,10.9,1,5
37,2,Giants,Saquon Barkley,2,115,18.93,303,1228,76.8,10,4.5,17.1,274,60,454,2,3.8,28.4,0,12
38,15,49ers,Wayne Gallman,14,34,9.29,130.1,617,44.1,6,4.5,9.7,136,21,114,0,1.5,8.1,0,6
39,19,Patriots,Damien Harris,10,49,9.13,91.3,691,69.1,2,5,13.7,137,5,52,0,0.5,5.2,0,2
40,19,Patriots,Sony Michel,7,74,6.59,52.7,373,46.6,1,5.9,9,63,4,54,0,0.6,6.8,0,1
