team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,rush_yards,rush_yds_per_game,rush_TD,total_TD
13,Cardinals,Deandre Hopkins,15,4,18.69,280.3,111,1372,6,7.4,91.5,1,0.1,0,6
13,Cardinals,Larry Fitzgerald,13,71,7.76,100.9,54,409,1,4.2,31.5,0,0,0,1
13,Cardinals,Christian Kirk,14,45,10.46,146.4,48,621,6,3.4,44.4,3,0.2,0,6
9,Falcons,Calvin Ridley,14,5,19.35,270.9,82,1322,9,5.9,94.4,7,0.5,0,9
9,Falcons,Julio Jones,9,46,14.43,230.8,78,1090,7,4.9,68.1,0,0,0,7
9,Falcons,Russell Gage,15,39,10.39,155.86,63,695,3,4.2,46.3,-2,-0.1,0,4
21,Ravens,Marquise Brown,15,37,10.79,161.9,53,728,6,3.5,48.5,1,0.1,0,6
31,Raiders,Willie Snead,13,77,7.25,94.2,33,432,3,2.5,33.2,0,0,0,3
21,Ravens,Miles Boykin,15,105,3.89,58.3,18,223,3,1.2,14.9,0,0,0,3
17,Bills,Stefon Diggs,15,3,20.93,314,120,1459,8,8,97.3,1,0.1,0,8
17,Bills,Cole Beasley,15,21,13.83,207.5,82,967,4,5.5,64.5,0,0,0,5
31,Raiders,John Brown,8,92,9.95,79.6,29,386,2,3.6,48.3,0,0,0,2
17,Bills,Gabriel Davis,15,60,7.88,118.2,33,492,6,2.2,32.8,0,0,0,6
10,Panthers,Robby Anderson,15,15,14.47,217.1,92,1056,3,6.1,70.4,15,1,0,3
10,Panthers,DJ Moore,14,23,14.03,196.4,61,1092,4,4.4,78,22,1.6,0,4
4,WFT,Curtis Samuel,14,26,13.79,193,70,733,3,5,52.4,197,14.1,2,5
5,Bears,Allen Robinson,15,7,17.15,257.2,100,1213,6,6.7,80.9,-1,-0.1,0,6
5,Bears,Darnell Mooney,15,50,8.79,131.8,50,538,4,3.3,35.9,20,1.3,0,4
5,Bears,Cordarrelle Patterson,15,100,4.51,67.6,21,132,0,1.4,8.8,214,14.3,1,1
5,Bears,Anthony Miller,15,68,7.03,105.4,47,472,2,3.1,31.5,12,0.8,0,2
22,Bengals,Tee Higgins,15,24,12.97,194.6,67,908,6,4.5,60.5,28,1.9,0,6
13,Cardinals,AJ Green,15,67,7.42,111.3,47,523,2,3.1,34.9,0,0,0,2
22,Bengals,Tyler Boyd,14,28,13.6,190.44,78,840,4,5.6,60,38,2.7,0,4
23,Browns,Jarvis Landry,14,34,12.25,171.56,67,789,3,4.8,56.4,7,0.5,0,4
23,Browns,Odell Beckham,7,85,13.08,209.3,67,934,7,4.2,58.4,33,2.1,0,7
23,Browns,Rashard Higgins,12,64,9.45,113.4,35,544,4,2.9,45.3,0,0,0,4
23,Browns,Donovan Peoples-Jones,11,108,5.12,56.3,13,293,2,1.2,26.6,0,0,0,2
1,Cowboys,Amari Cooper,15,14,15.11,226.7,86,1073,5,5.7,71.5,14,0.9,0,5
1,Cowboys,CeeDee Lamb,15,20,13.87,208.1,69,892,5,4.6,59.5,79,5.3,1,6
1,Cowboys,Michael Gallup,15,36,10.96,164.4,55,794,5,3.7,52.4,0,0,0,5
28,Broncos,Tim Patrick,14,40,11.04,154.6,49,696,6,3.5,49.7,0,0,0,6
28,Broncos,Jerry Jeudy,15,54,8.71,130.6,47,716,2,3.1,47.7,0,0,0,7
2,Giants,Kenny Golliday,5,101,13.51,216.3,70,1065,7,4.4,66.6,0,0,0,2
27,Jaguars,Marvin Jones ,15,29,12.65,189.8,68,798,7,4.5,53.2,0,0,0,7
6,Lions,Danny Amendola,13,69,8.06,104.8,45,596,0,3.5,45.8,2,0.2,0,0
15,49ers,Mohamed Sanu,9,124,4.49,40.4,14,165,1,1.6,18.3,0,0,0,1
7,Packers,Devante Adams,13,1,26.29,341.8,109,1328,17,8.4,102.2,0,0,0,17
7,Packers,Allen Lazard,9,78,10.46,94.1,31,434,3,3.4,48.2,17,1.9,0,3
7,Packers,Marquez Valdes-Scantling,15,59,8.01,120.2,31,603,5,2.1,40.2,9,0.6,0,5
25,Texans,Brandin Cooks,14,27,13.74,192.4,70,984,4,5,70.3,0,0,0,4
25,Texans,Keke Coutee,7,97,10.29,72,27,310,3,3.9,44.3,0,0,0,3
18,Dolphins,Will Fuller,11,30,17.17,188.9,53,879,8,4.8,79.9,0,0,0,8
25,Texans,Randall Cobb,10,73,10.01,100.1,38,441,3,3.8,44.1,0,0,0,3
25,Texans,Chad Hansen,4,122,10.75,43,15,220,1,3.8,55,0,0,0,1
26,Colts,TY Hilton,14,42,10.75,150.5,53,753,4,3.8,52.5,0,0,0,4
26,Colts,Michael Pittman,12,79,7.83,93.9,38,475,1,3.2,39.6,24,2,0,1
26,Colts,Zach Pascal,15,53,8.72,130.8,42,588,5,2.8,39.2,0,0,0,5
27,Jaguars,DJ Chark,13,41,11.82,153.6,53,706,5,4.1,54.3,0,0,0,5
27,Jaguars,Laviska Shenault,13,49,10.19,132.5,52,532,3,4,40.9,93,7.2,0,3
20,Jets,Keelan Cole,15,43,10.01,150.1,52,619,5,3.5,41.3,2,0.1,0,5
25,Texans,Chris Conley,14,89,5.81,81.4,33,384,2,2.4,27.4,0,0,0,2
30,Chiefs,Tyreek Hill,15,2,21.93,328.9,87,1276,15,5.8,85.1,123,8.2,2,17
21,Ravens,Sammy Watkins,10,83,8.74,87.4,37,421,2,3.7,42.1,3,0.3,0,2
30,Chiefs,Mecole Hardman,15,57,8.37,125.6,39,535,4,2.6,35.7,31,2.1,0,4
30,Chiefs,Demarcus Robinson,15,76,6.39,95.8,39,408,3,2.6,27.2,0,0,0,3
32,Chargers,Mike Williams,14,51,9.35,130.9,42,648,4,3,46.3,1,0.1,0,4
32,Chargers,Keenan Allen,14,9,17.51,245.1,100,992,8,7.1,70.9,-1,-0.1,0,8
32,Chargers,Jalen Guyton,15,75,6.47,97.1,28,511,3,1.9,34.1,0,0,0,3
32,Chargers,Tyron Johnson,11,96,6.73,74,18,363,3,1.6,33,17,1.5,0,3
14,Rams,Robert Woods,15,12,15.83,237.5,86,900,6,5.7,60,155,10.3,2,8
14,Rams,Cooper Kupp,15,19,13.91,208.7,92,974,3,6.1,64.9,33,2.2,0,3
28,Titans,Josh Reynolds,15,61,7.83,117.4,48,589,2,3.2,39.3,5,0.3,0,2
19,Patriots,Nelson Agholor,15,33,11.93,178.9,47,839,8,3.1,55.9,0,0,0,8
31,Raiders,Hunter Renfrow,15,56,8.41,126.2,53,632,2,3.5,42.1,0,0,0,2
31,Raiders,Henry Ruggs,12,93,6.61,79.3,23,414,2,1.9,34.5,49,4.1,0,2
18,Dolphins,Devnate Parker,13,44,11.36,147.7,56,677,4,4.3,52.1,0,0,0,4
18,Dolphins,Lynn Bowden,9,82,4.51,40.6,20,167,0,2.2,18.6,39,4.3,0,0
18,Dolphins,Jakeem Grant,14,84,6.24,87.3,36,373,1,2.6,26.6,20,1.4,0,1
18,Dolphins,Preston Williams,8,95,9.35,74.8,18,288,4,2.3,36,0,0,0,4
8,Vikings,Justin Jefferson,15,8,16.79,251.9,79,1267,7,5.3,84.5,2,0.1,0,7
8,Vikings,Adam Thielen,14,10,17.45,244.3,70,868,14,5,62,15,1.1,0,14
8,Vikings,Chad Beebe,13,129,2.9,37.7,18,157,1,1.3,12.1,0,0,0,1
19,Patriots,Jakobi Meyers,13,58,9.56,124.26,53,661,0,4.1,50.8,2,0.2,0,1
5,Bears,Damiere Byrd,15,66,7.52,112.8,46,597,1,3.1,39.8,11,0.7,0,1
19,Patrios,Nkeal Harry,13,98,5.4,70.2,31,292,2,2.4,22.5,0,0,0,2
11,Saints,Michael Thomas,7,88,11.99,83.9,40,438,0,5.7,62.6,1,0.1,0,0
