player_id,team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,targets,rush_yards,rush_yds_per_game,rush_TD,fumbles_lost,total_TD
1,13,Cardinals,Deandre Hopkins,15,4,18.69,280.3,111,1372,6,7.4,91.5,150,1,0.1,0,3,6
2,13,Cardinals,Larry Fitzgerald,13,71,7.76,100.9,54,409,1,4.2,31.5,72,0,0,0,0,1
3,13,Cardinals,Christian Kirk,14,45,10.46,146.4,48,621,6,3.4,44.4,79,3,0.2,0,0,6
4,9,Falcons,Calvin Ridley,14,5,19.35,270.9,82,1322,9,5.9,94.4,131,7,0.5,0,0,9
5,9,Falcons,Julio Jones,9,46,14.43,230.8,78,1090,7,4.9,68.1,0,0,0,0,0,7
6,9,Falcons,Russell Gage,15,39,10.39,155.86,63,695,3,4.2,46.3,99,-2,-0.1,0,0,4
7,21,Ravens,Marquise Brown,15,37,10.79,161.9,53,728,6,3.5,48.5,92,1,0.1,0,0,6
8,31,Raiders,Willie Snead,13,77,7.25,94.2,33,432,3,2.5,33.2,48,0,0,0,0,3
9,21,Ravens,Miles Boykin,15,105,3.89,58.3,18,223,3,1.2,14.9,31,0,0,0,0,3
10,17,Bills,Stefon Diggs,15,3,20.93,314,120,1459,8,8,97.3,158,1,0.1,0,0,8
11,17,Bills,Cole Beasley,15,21,13.83,207.5,82,967,4,5.5,64.5,107,0,0,0,0,5
12,31,Raiders,John Brown,8,92,9.95,79.6,29,386,2,3.6,48.3,48,0,0,0,0,2
13,17,Bills,Gabriel Davis,15,60,7.88,118.2,33,492,6,2.2,32.8,57,0,0,0,0,6
14,10,Panthers,Robby Anderson,15,15,14.47,217.1,92,1056,3,6.1,70.4,129,15,1,0,1,3
15,10,Panthers,DJ Moore,14,23,14.03,196.4,61,1092,4,4.4,78,107,22,1.6,0,0,4
16,4,WFT,Curtis Samuel,14,26,13.79,193,70,733,3,5,52.4,86,197,14.1,2,0,5
17,5,Bears,Allen Robinson,15,7,17.15,257.2,100,1213,6,6.7,80.9,146,-1,-0.1,0,0,6
18,5,Bears,Darnell Mooney,15,50,8.79,131.8,50,538,4,3.3,35.9,85,20,1.3,0,0,4
19,5,Bears,Cordarrelle Patterson,15,100,4.51,67.6,21,132,0,1.4,8.8,25,214,14.3,1,0,1
20,5,Bears,Anthony Miller,15,68,7.03,105.4,47,472,2,3.1,31.5,74,12,0.8,0,1,2
21,22,Bengals,Tee Higgins,15,24,12.97,194.6,67,908,6,4.5,60.5,107,28,1.9,0,1,6
22,13,Cardinals,AJ Green,15,67,7.42,111.3,47,523,2,3.1,34.9,98,0,0,0,0,2
23,22,Bengals,Tyler Boyd,14,28,13.6,190.44,78,840,4,5.6,60,107,38,2.7,0,0,4
24,23,Browns,Jarvis Landry,14,34,12.25,171.56,67,789,3,4.8,56.4,95,7,0.5,0,0,4
25,23,Browns,Odell Beckham,7,85,13.08,209.3,67,934,7,4.2,58.4,0,33,2.1,0,0,7
26,23,Browns,Rashard Higgins,12,64,9.45,113.4,35,544,4,2.9,45.3,49,0,0,0,0,4
27,23,Browns,Donovan Peoples-Jones,11,108,5.12,56.3,13,293,2,1.2,26.6,17,0,0,0,0,2
28,1,Cowboys,Amari Cooper,15,14,15.11,226.7,86,1073,5,5.7,71.5,121,14,0.9,0,0,5
29,1,Cowboys,CeeDee Lamb,15,20,13.87,208.1,69,892,5,4.6,59.5,104,79,5.3,1,1,6
30,1,Cowboys,Michael Gallup,15,36,10.96,164.4,55,794,5,3.7,52.4,97,0,0,0,0,5
31,28,Broncos,Tim Patrick,14,40,11.04,154.6,49,696,6,3.5,49.7,75,0,0,0,0,6
32,28,Broncos,Jerry Jeudy,15,54,8.71,130.6,47,716,2,3.1,47.7,106,0,0,0,0,7
33,2,Giants,Kenny Golliday,5,101,13.51,216.3,70,1065,7,4.4,66.6,0,0,0,0,0,2
34,27,Jaguars,Marvin Jones ,15,29,12.65,189.8,68,798,7,4.5,53.2,104,0,0,0,0,7
35,6,Lions,Danny Amendola,13,69,8.06,104.8,45,596,0,3.5,45.8,67,2,0.2,0,0,0
36,15,49ers,Mohamed Sanu,9,124,4.49,40.4,14,165,1,1.6,18.3,17,0,0,0,0,1
37,7,Packers,Devante Adams,13,1,26.29,341.8,109,1328,17,8.4,102.2,143,0,0,0,1,17
38,7,Packers,Allen Lazard,9,78,10.46,94.1,31,434,3,3.4,48.2,42,17,1.9,0,0,3
39,7,Packers,Marquez Valdes-Scantling,15,59,8.01,120.2,31,603,5,2.1,40.2,60,9,0.6,0,1,5
40,25,Texans,Brandin Cooks,14,27,13.74,192.4,70,984,4,5,70.3,103,0,0,0,0,4
41,25,Texans,Keke Coutee,7,97,10.29,72,27,310,3,3.9,44.3,33,0,0,0,3,3
42,18,Dolphins,Will Fuller,11,30,17.17,188.9,53,879,8,4.8,79.9,75,0,0,0,0,8
43,25,Texans,Randall Cobb,10,73,10.01,100.1,38,441,3,3.8,44.1,48,0,0,0,0,3
44,25,Texans,Chad Hansen,4,122,10.75,43,15,220,1,3.8,55,20,0,0,0,0,1
45,26,Colts,TY Hilton,14,42,10.75,150.5,53,753,4,3.8,52.5,86,0,0,0,0,4
46,26,Colts,Michael Pittman,12,79,7.83,93.9,38,475,1,3.2,39.6,58,24,2,0,0,1
47,26,Colts,Zach Pascal,15,53,8.72,130.8,42,588,5,2.8,39.2,67,0,0,0,0,5
48,27,Jaguars,DJ Chark,13,41,11.82,153.6,53,706,5,4.1,54.3,94,0,0,0,0,5
49,27,Jaguars,Laviska Shenault,13,49,10.19,132.5,52,532,3,4,40.9,70,93,7.2,0,0,3
50,20,Jets,Keelan Cole,15,43,10.01,150.1,52,619,5,3.5,41.3,80,2,0.1,0,0,5
